src_region,src_tier,dst_region,dst_tier,throughput_sent_bits_per_second,throughput_received_bits_per_second,cpu_utilization_percent
aws:eu-west-3,PREMIUM,gcp:europe-west6-a,STANDARD,5014191143,4737423753,7.59716176
azure:germanywestcentral,PREMIUM,aws:eu-west-2,PREMIUM,9681617242,9374196844,14.7885674
gcp:europe-central2-a,PREMIUM,gcp:europe-north1-a,PREMIUM,6889200000,6785755000,80.358692
gcp:europe-west4-a,PREMIUM,azure:germanywestcentral,PREMIUM,7059707000,6983349000,88.809888
gcp:us-central1-a,STANDARD,gcp:us-east4-a,PREMIUM,6871022000,6784220000,75.138341
gcp:europe-west3-a,STANDARD,aws:eu-west-1,PREMIUM,6120569000,6053218000,74.954702
aws:ap-northeast-3,PREMIUM,gcp:asia-northeast3-a,PREMIUM,5009874889,4660649258,7.549681924
aws:ap-northeast-1,PREMIUM,aws:ap-northeast-2,PREMIUM,5044964561,4593951082,7.26684513
gcp:asia-east1-a,STANDARD,gcp:asia-northeast2-a,PREMIUM,6356349000,6241937000,68.616212
gcp:northamerica-northeast2-a,PREMIUM,gcp:us-west1-a,PREMIUM,6614032000,6361426000,57.445289
azure:westus,PREMIUM,gcp:us-central1-a,PREMIUM,8932015629,8418448839,10.63442229
azure:westus3,PREMIUM,gcp:us-east1-b,STANDARD,8160623642,7314649168,9.436106029
azure:uksouth,PREMIUM,azure:eastus,PREMIUM,15908949877,13661435014,13.67940182
gcp:europe-west3-a,PREMIUM,gcp:us-east4-a,STANDARD,4144441000,3972735000,45.192981
aws:me-south-1,PREMIUM,aws:eu-central-1,PREMIUM,5187918449,4157436468,5.790226324
azure:canadacentral,PREMIUM,gcp:europe-west4-a,STANDARD,5072415467,4366385888,6.054169222
aws:us-east-2,PREMIUM,aws:eu-north-1,PREMIUM,5033862410,3868146301,5.258827993
gcp:asia-south2-a,PREMIUM,aws:ap-east-1,PREMIUM,5833668000,5522943000,39.545216
aws:ap-southeast-2,PREMIUM,azure:japaneast,PREMIUM,5170172099,3941092528,5.356857889
